s_State,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Ghazni,AF11,33.298822,67.811789,12188
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Paktika,AF12,32.481676,68.751118,9440
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Paktya,AF13,33.629195,69.401912,37657
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Khost,AF14,33.366603,69.830734,24426
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Kunar,AF15,34.94148,71.098978,64046
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Nuristan,AF16,35.403435,70.806989,754
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Badakhshan,AF17,37.038272,71.457808,2258
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Takhar,AF18,36.702307,69.776281,7122
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Kunduz,AF19,36.846189,68.741738,62169
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Samangan,AF20,35.989962,67.746321,4518
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Balkh,AF21,36.671789,67.067123,31957
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Sar-e-Pul,AF22,35.732534,66.13302,1648
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Ghor,AF23,34.223853,64.928959,831
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Daykundi,AF24,33.764021,66.184738,370
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Uruzgan,AF25,32.942363,66.132258,46
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Zabul,AF26,32.193437,67.159692,77
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Kandahar,AF27,31.052452,65.712547,1312
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Jawzjan,AF28,36.828418,65.841324,9035
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Faryab,AF29,36.054515,64.859923,2324
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Helmand,AF30,31.185119,64.052756,584
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Badghis,AF31,35.139966,63.677186,665
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Herat,AF32,34.059812,61.988025,9870
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Farah,AF33,32.497557,62.462352,1033
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Nimroz,AF34,30.789339,62.316668,465
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Kabul,AF01,34.554066,69.332594,42747
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Kapisa,AF02,34.962936,69.622633,15911
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Parwan,AF03,34.958537,68.886329,20647
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Wardak,AF04,34.292078,68.20295,7773
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Logar,AF05,34.013175,69.171596,12270
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Nangarhar,AF06,34.272868,70.472553,22333
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Laghman,AF07,34.762935,70.170187,22285
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Panjsher,AF08,35.44593,69.794822,1608
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Baghlan,AF09,35.773178,68.938185,45241
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Bamyan,AF10,34.798638,67.233704,6922
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Ghazni,AF11,33.298822,67.811789,31159
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Paktika,AF12,32.481676,68.751118,6725
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Paktya,AF13,33.629195,69.401912,2829
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Khost,AF14,33.366603,69.830734,2376
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Kunar,AF15,34.94148,71.098978,2257
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Nuristan,AF16,35.403435,70.806989,439
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Badakhshan,AF17,37.038272,71.457808,24264
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Takhar,AF18,36.702307,69.776281,82395
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Kunduz,AF19,36.846189,68.741738,64527
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Samangan,AF20,35.989962,67.746321,4569
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Balkh,AF21,36.671789,67.067123,36914
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Sar-e-Pul,AF22,35.732534,66.13302,23859
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Ghor,AF23,34.223853,64.928959,25266
